,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
165,2nd,"(624, 170)","(764, 176)","(694, 173)","(703, 237)","(1194, 63)","[[-3.1414654 ]
 [-0.08574268]
 [ 0.35862044]]","[[ 963.14572388]
 [-181.16206544]
 [1497.14752544]]"
166,2nd,"(628, 172)","(765, 180)","(696, 176)","(708, 244)","(1200, 102)","[[-3.12211167]
 [-0.08440625]
 [ 0.36479217]]","[[ 968.65983217]
 [-165.28093349]
 [1492.74639905]]"
167,2nd,"(641, 170)","(772, 180)","(706, 175)","(708, 243)","(1254, 84)","[[-3.12865106]
 [-0.10421798]
 [ 0.35331851]]","[[ 950.3404574 ]
 [-159.80810845]
 [1457.50469795]]"
168,2nd,"(631, 175)","(768, 183)","(699, 179)","(710, 249)","(1303, 76)","[[-3.14675998]
 [-0.11166884]
 [ 0.32398049]]","[[ 950.1277013 ]
 [-147.01223371]
 [1450.12207227]]"
169,2nd,"(635, 176)","(770, 185)","(702, 180)","(711, 251)","(1328, 106)","[[-3.11871216]
 [-0.08811686]
 [ 0.33922272]]","[[ 929.51980477]
 [-141.80349044]
 [1416.11498475]]"
170,2nd,"(632, 181)","(772, 194)","(702, 187)","(713, 260)","(1466, 137)","[[-3.12273044]
 [-0.1031045 ]
 [ 0.26745686]]","[[ 928.62936977]
 [-115.40074359]
 [1396.45010808]]"
171,2nd,"(635, 195)","(779, 206)","(707, 200)","(710, 287)","(1702, 243)","[[-3.10692158]
 [-0.09488168]
 [ 0.2442032 ]]","[[ 870.17345604]
 [ -54.39862959]
 [1308.31559665]]"
172,3rd,"(630, 210)","(777, 221)","(703, 215)","(706, 305)","(1496, 321)","[[-3.08998626]
 [-0.07508618]
 [ 0.34434047]]","[[ 853.56542289]
 [ -21.26420491]
 [1309.06727337]]"
173,3rd,"(628, 211)","(777, 223)","(702, 217)","(704, 308)","(1514, 359)","[[-3.07523001]
 [-0.08127107]
 [ 0.34800889]]","[[ 840.95208339]
 [ -15.08176296]
 [1294.32804363]]"
174,3rd,"(625, 219)","(770, 231)","(697, 225)","(700, 318)","(1383, 411)","[[-3.05930409]
 [-0.07581547]
 [ 0.40833087]]","[[ 831.35272108]
 [   5.1258637 ]
 [1295.00650531]]"
175,3rd,"(629, 224)","(778, 234)","(703, 229)","(705, 325)","(1524, 458)","[[-3.05702145]
 [-0.06346694]
 [ 0.36484541]]","[[ 835.76281458]
 [  15.31728982]
 [1279.13560053]]"
176,3rd,"(629, 234)","(778, 247)","(703, 240)","(706, 342)","(1564, 577)","[[-3.04159738]
 [-0.05359514]
 [ 0.40662688]]","[[ 800.64485226]
 [  46.65855579]
 [1230.48635571]]"
177,3rd,"(631, 241)","(786, 254)","(708, 247)","(710, 352)","(1598, 593)","[[-3.05421869]
 [-0.04319607]
 [ 0.39540477]]","[[ 816.50265013]
 [  65.1317263 ]
 [1237.89324125]]"
178,3rd,"(627, 244)","(792, 256)","(709, 250)","(717, 356)","(1820, 674)","[[-3.04938974]
 [-0.04776919]
 [ 0.3672354 ]]","[[ 807.05270512]
 [  71.10413637]
 [1204.77605506]]"
