,quadrant,left_pupil,right_pupil,gaze_center_x,gaze_center_y,nose_end_points,gaze_end_points
62,3rd,"(502, 281)","(623, 281)",562,281,"(554, 384)","(1066, 724)"
63,3rd,"(490, 280)","(610, 281)",550,280,"(550, 384)","(1048, 722)"
64,3rd,"(391, 281)","(507, 270)",449,275,"(450, 390)","(-47, 697)"
65,4th,"(389, 287)","(504, 277)",446,282,"(447, 390)","(21, 699)"
66,4th,"(384, 289)","(502, 278)",443,283,"(446, 391)","(63, 688)"
67,4th,"(384, 289)","(503, 276)",443,282,"(444, 390)","(369, 432)"
68,4th,"(384, 289)","(502, 276)",443,282,"(442, 391)","(67, 787)"
69,4th,"(377, 285)","(495, 277)",436,281,"(440, 392)","(55, 836)"
70,3rd,"(373, 285)","(493, 276)",433,280,"(438, 392)","(-27, 827)"
71,4th,"(370, 285)","(490, 275)",430,280,"(434, 391)","(310, 442)"
72,4th,"(362, 265)","(489, 273)",425,269,"(429, 391)","(317, 436)"
73,4th,"(373, 287)","(490, 277)",431,282,"(438, 392)","(9, 826)"
74,3rd,"(371, 285)","(490, 276)",430,280,"(438, 393)","(-12, 867)"
75,3rd,"(372, 286)","(489, 276)",430,281,"(437, 392)","(-41, 815)"
76,3rd,"(374, 285)","(496, 276)",435,280,"(438, 394)","(-43, 824)"
77,4th,"(390, 288)","(510, 276)",450,282,"(445, 391)","(21, 700)"
78,4th,"(395, 285)","(517, 276)",456,280,"(455, 390)","(47, 722)"
79,3rd,"(395, 282)","(536, 273)",465,277,"(456, 390)","(-33, 618)"
80,3rd,"(380, 288)","(494, 280)",437,284,"(442, 385)","(-3, 614)"
81,3rd,"(382, 289)","(492, 279)",437,284,"(441, 384)","(-19, 604)"
82,4th,"(394, 285)","(501, 282)",447,283,"(458, 383)","(392, 649)"
83,4th,"(397, 284)","(506, 285)",451,284,"(461, 382)","(355, 639)"
